date,Qobs,Qb_o_o,Qb_o_09,Qb_o_omedian,Qb_m_09,Qb_m_o,Qb_m_omedian,Qb_Af_09,Qb_Af_o,Qb_Af_omedian
1995-04-01,19.28632115548,17.6185531325718,18.8756726139904,17.6185531325718,18.8756726139904,17.6185531325718,17.6185531325718,18.8756726139904,17.6185531325718,17.6185531325718
1995-04-02,18.7765505522515,17.6835855963582,18.5216652506372,17.6835855963582,18.5216652506372,17.6835855963582,17.6835855963582,18.5216652506372,17.6835855963582,17.6835855963582
1995-04-03,17.9835740583404,17.7486180601445,17.9835740583404,17.7486180601445,17.9835740583404,17.7486180601445,17.7486180601445,17.9835740583404,17.7486180601445,17.7486180601445
1995-04-04,17.8136505239309,17.8136505239309,17.8136505239309,17.8136505239309,17.8136505239309,17.8136505239309,17.8136505239309,17.8136505239309,17.8136505239309,17.8136505239309
1995-04-05,18.719909374115,17.7286887567261,17.9587935429057,17.7286887567261,17.9587935429057,17.7286887567261,17.7286887567261,17.9587935429057,17.7286887567261,17.7286887567261
1995-04-06,19.5978476352308,17.6437269895214,18.1039365618805,17.6437269895214,18.1039365618805,17.6437269895214,17.6437269895214,18.1039365618805,17.6437269895214,17.6437269895214
1995-04-07,20.4191447182101,17.5587652223166,18.2490795808553,17.5587652223166,18.2490795808553,17.5587652223166,17.5587652223166,18.2490795808553,17.5587652223166,17.5587652223166
1995-04-08,21.976777116964,17.4738034551119,18.3942225998301,17.4738034551119,18.3942225998301,17.4738034551119,17.4738034551119,18.3942225998301,17.4738034551119,17.4738034551119
1995-04-09,21.6652506372133,17.3888416879071,18.5393656188049,17.3888416879071,18.5393656188049,17.3888416879071,17.3888416879071,18.5393656188049,17.3888416879071,17.3888416879071
1995-04-10,20.3341829510054,17.3038799207024,18.6845086377797,17.3038799207024,18.6845086377797,17.3038799207024,17.3038799207024,18.6845086377797,17.3038799207024,17.3038799207024
1995-04-11,19.4845652789578,17.2189181534976,18.8296516567545,17.2189181534976,18.8296516567545,17.2189181534976,17.2189181534976,18.8296516567545,17.2189181534976,17.2189181534976
1995-04-12,18.9747946757293,17.1339563862928,18.9747946757293,17.1339563862928,18.9747946757293,17.1339563862928,17.1339563862928,18.9747946757293,17.1339563862928,17.1339563862928
1995-04-13,20.6457094307562,17.0489946190881,18.7224839731212,17.0489946190881,18.7224839731212,17.0489946190881,17.0489946190881,18.7224839731212,17.0489946190881,17.0489946190881
1995-04-14,21.9484565278958,16.9640328518833,18.4701732705131,16.9640328518833,18.4701732705131,16.9640328518833,16.9640328518833,18.4701732705131,16.9640328518833,16.9640328518833
1995-04-15,22.1183800623053,16.8790710846786,18.217862567905,16.8790710846786,18.217862567905,16.8790710846786,16.8790710846786,18.217862567905,16.8790710846786,16.8790710846786
1995-04-16,21.4670065137355,16.7941093174738,17.965551865297,16.7941093174738,17.965551865297,16.7941093174738,16.7941093174738,17.965551865297,16.7941093174738,16.7941093174738
1995-04-17,20.7023506088927,16.709147550269,17.7132411626889,16.709147550269,17.7132411626889,16.709147550269,16.709147550269,17.7132411626889,16.709147550269,16.709147550269
1995-04-18,19.7111299915038,16.6241857830643,17.4609304600808,16.6241857830643,17.4609304600808,16.6241857830643,16.6241857830643,17.4609304600808,16.6241857830643,16.6241857830643
1995-04-19,19.3429623336165,16.5392240158595,17.2086197574728,16.5392240158595,17.2086197574728,16.5392240158595,16.5392240158595,17.2086197574728,16.5392240158595,16.5392240158595
1995-04-20,18.5499858397055,16.4542622486548,16.9563090548647,16.4542622486548,16.9563090548647,16.4542622486548,16.4542622486548,16.9563090548647,16.4542622486548,16.4542622486548
